PSIS_REFYEAR_D_CODE,PSIS_PROVOFSTUDY_CODE,PSIS_PRGCODECIP6_D_CODE,PSIS_PCSCE_D_CODE,PSIS_GENDER_CODE,_COUNT_
,,,,,3210
,,,,1,1655
,,,,2,1555
,,,66,,1970
,,,66,1,1015
,,,66,2,955
,,,76,,1025
,,,76,1,510
,,,76,2,515
,,,86,,215
,,,86,1,130
,,,86,2,85
,,26.1102,,,90
,,26.1102,,1,35
,,26.1102,,2,55
,,26.1102,66,,0
,,26.1102,66,1,0
,,26.1102,66,2,0
,,26.1102,76,,70
,,26.1102,76,1,25
,,26.1102,76,2,45
,,26.1102,86,,20
,,26.1102,86,1,10
,,26.1102,86,2,10
,,27.0501,,,3120
,,27.0501,,1,1620
,,27.0501,,2,1500
,,27.0501,66,,1970
,,27.0501,66,1,1015
,,27.0501,66,2,955
,,27.0501,76,,955
,,27.0501,76,1,485
,,27.0501,76,2,470
,,27.0501,86,,195
,,27.0501,86,1,120
,,27.0501,86,2,75
,10,,,,75
,10,,,1,50
,10,,,2,25
,10,,66,,30
,10,,66,1,20
,10,,66,2,10
,10,,76,,35
,10,,76,1,25
,10,,76,2,10
,10,,86,,10
,10,,86,1,5
,10,,86,2,5
,10,26.1102,,,0
,10,26.1102,,1,0
,10,26.1102,,2,0
,10,26.1102,66,,0
,10,26.1102,66,1,0
,10,26.1102,66,2,0
,10,26.1102,76,,0
,10,26.1102,76,1,0
,10,26.1102,76,2,0
,10,26.1102,86,,0
,10,26.1102,86,1,0
,10,26.1102,86,2,0
,10,27.0501,,,75
,10,27.0501,,1,50
,10,27.0501,,2,25
,10,27.0501,66,,30
,10,27.0501,66,1,20
,10,27.0501,66,2,10
,10,27.0501,76,,35
,10,27.0501,76,1,25
,10,27.0501,76,2,10
,10,27.0501,86,,10
,10,27.0501,86,1,5
,10,27.0501,86,2,5
,12,,,,110
,12,,,1,55
,12,,,2,55
,12,,66,,55
,12,,66,1,30
,12,,66,2,25
,12,,76,,45
,12,,76,1,20
,12,,76,2,25
,12,,86,,10
,12,,86,1,5
,12,,86,2,5
,12,26.1102,,,0
,12,26.1102,,1,0
,12,26.1102,,2,0
,12,26.1102,66,,0
,12,26.1102,66,1,0
,12,26.1102,66,2,0
,12,26.1102,76,,0
,12,26.1102,76,1,0
,12,26.1102,76,2,0
,12,26.1102,86,,0
,12,26.1102,86,1,0
,12,26.1102,86,2,0
,12,27.0501,,,110
,12,27.0501,,1,55
,12,27.0501,,2,55
,12,27.0501,66,,55
,12,27.0501,66,1,30
,12,27.0501,66,2,25
,12,27.0501,76,,45
,12,27.0501,76,1,20
,12,27.0501,76,2,25
,12,27.0501,86,,10
,12,27.0501,86,1,5
,12,27.0501,86,2,5
,13,,,,15
,13,,,1,5
,13,,,2,10
,13,,66,,0
,13,,66,1,0
,13,,66,2,0
,13,,76,,15
,13,,76,1,5
,13,,76,2,10
,13,,86,,0
,13,,86,1,0
,13,,86,2,0
,13,26.1102,,,0
,13,26.1102,,1,0
,13,26.1102,,2,0
,13,26.1102,66,,0
,13,26.1102,66,1,0
,13,26.1102,66,2,0
,13,26.1102,76,,0
,13,26.1102,76,1,0
,13,26.1102,76,2,0
,13,26.1102,86,,0
,13,26.1102,86,1,0
,13,26.1102,86,2,0
,13,27.0501,,,15
,13,27.0501,,1,5
,13,27.0501,,2,10
,13,27.0501,66,,0
,13,27.0501,66,1,0
,13,27.0501,66,2,0
,13,27.0501,76,,15
,13,27.0501,76,1,5
,13,27.0501,76,2,10
,13,27.0501,86,,0
,13,27.0501,86,1,0
,13,27.0501,86,2,0
,24,,,,480
,24,,,1,245
,24,,,2,235
,24,,66,,260
,24,,66,1,125
,24,,66,2,135
,24,,76,,205
,24,,76,1,105
,24,,76,2,100
,24,,86,,15
,24,,86,1,15
,24,,86,2,0
,24,26.1102,,,45
,24,26.1102,,1,15
,24,26.1102,,2,30
,24,26.1102,66,,0
,24,26.1102,66,1,0
,24,26.1102,66,2,0
,24,26.1102,76,,45
,24,26.1102,76,1,15
,24,26.1102,76,2,30
,24,26.1102,86,,0
,24,26.1102,86,1,0
,24,26.1102,86,2,0
,24,27.0501,,,435
,24,27.0501,,1,230
,24,27.0501,,2,205
,24,27.0501,66,,260
,24,27.0501,66,1,125
,24,27.0501,66,2,135
,24,27.0501,76,,160
,24,27.0501,76,1,90
,24,27.0501,76,2,70
,24,27.0501,86,,15
,24,27.0501,86,1,15
,24,27.0501,86,2,0
,35,,,,1545
,35,,,1,815
,35,,,2,730
,35,,66,,950
,35,,66,1,510
,35,,66,2,440
,35,,76,,490
,35,,76,1,245
,35,,76,2,245
,35,,86,,105
,35,,86,1,60
,35,,86,2,45
,35,26.1102,,,35
,35,26.1102,,1,15
,35,26.1102,,2,20
,35,26.1102,66,,0
,35,26.1102,66,1,0
,35,26.1102,66,2,0
,35,26.1102,76,,20
,35,26.1102,76,1,10
,35,26.1102,76,2,10
,35,26.1102,86,,15
,35,26.1102,86,1,5
,35,26.1102,86,2,10
,35,27.0501,,,1510
,35,27.0501,,1,800
,35,27.0501,,2,710
,35,27.0501,66,,950
,35,27.0501,66,1,510
,35,27.0501,66,2,440
,35,27.0501,76,,470
,35,27.0501,76,1,235
,35,27.0501,76,2,235
,35,27.0501,86,,90
,35,27.0501,86,1,55
,35,27.0501,86,2,40
,46,,,,140
,46,,,1,75
,46,,,2,65
,46,,66,,85
,46,,66,1,50
,46,,66,2,35
,46,,76,,45
,46,,76,1,20
,46,,76,2,25
,46,,86,,10
,46,,86,1,5
,46,,86,2,5
,46,26.1102,,,0
,46,26.1102,,1,0
,46,26.1102,,2,0
,46,26.1102,66,,0
,46,26.1102,66,1,0
,46,26.1102,66,2,0
,46,26.1102,76,,0
,46,26.1102,76,1,0
,46,26.1102,76,2,0
,46,26.1102,86,,0
,46,26.1102,86,1,0
,46,26.1102,86,2,0
,46,27.0501,,,140
,46,27.0501,,1,75
,46,27.0501,,2,65
,46,27.0501,66,,85
,46,27.0501,66,1,50
,46,27.0501,66,2,35
,46,27.0501,76,,45
,46,27.0501,76,1,20
,46,27.0501,76,2,25
,46,27.0501,86,,10
,46,27.0501,86,1,5
,46,27.0501,86,2,5
,47,,,,45
,47,,,1,25
,47,,,2,20
,47,,66,,25
,47,,66,1,15
,47,,66,2,10
,47,,76,,15
,47,,76,1,5
,47,,76,2,10
,47,,86,,5
,47,,86,1,5
,47,,86,2,0
,47,26.1102,,,10
,47,26.1102,,1,5
,47,26.1102,,2,5
,47,26.1102,66,,0
,47,26.1102,66,1,0
,47,26.1102,66,2,0
,47,26.1102,76,,5
,47,26.1102,76,1,0
,47,26.1102,76,2,5
,47,26.1102,86,,5
,47,26.1102,86,1,5
,47,26.1102,86,2,0
,47,27.0501,,,35
,47,27.0501,,1,20
,47,27.0501,,2,15
,47,27.0501,66,,25
,47,27.0501,66,1,15
,47,27.0501,66,2,10
,47,27.0501,76,,10
,47,27.0501,76,1,5
,47,27.0501,76,2,5
,47,27.0501,86,,0
,47,27.0501,86,1,0
,47,27.0501,86,2,0
,48,,,,130
,48,,,1,60
,48,,,2,70
,48,,66,,130
,48,,66,1,60
,48,,66,2,70
,48,,76,,0
,48,,76,1,0
,48,,76,2,0
,48,,86,,0
,48,,86,1,0
,48,,86,2,0
,48,26.1102,,,0
,48,26.1102,,1,0
,48,26.1102,,2,0
,48,26.1102,66,,0
,48,26.1102,66,1,0
,48,26.1102,66,2,0
,48,26.1102,76,,0
,48,26.1102,76,1,0
,48,26.1102,76,2,0
,48,26.1102,86,,0
,48,26.1102,86,1,0
,48,26.1102,86,2,0
,48,27.0501,,,130
,48,27.0501,,1,60
,48,27.0501,,2,70
,48,27.0501,66,,130
,48,27.0501,66,1,60
,48,27.0501,66,2,70
,48,27.0501,76,,0
,48,27.0501,76,1,0
,48,27.0501,76,2,0
,48,27.0501,86,,0
,48,27.0501,86,1,0
,48,27.0501,86,2,0
,59,,,,670
,59,,,1,325
,59,,,2,345
,59,,66,,435
,59,,66,1,205
,59,,66,2,230
,59,,76,,175
,59,,76,1,85
,59,,76,2,90
,59,,86,,60
,59,,86,1,35
,59,,86,2,25
,59,26.1102,,,0
,59,26.1102,,1,0
,59,26.1102,,2,0
,59,26.1102,66,,0
,59,26.1102,66,1,0
,59,26.1102,66,2,0
,59,26.1102,76,,0
,59,26.1102,76,1,0
,59,26.1102,76,2,0
,59,26.1102,86,,0
,59,26.1102,86,1,0
,59,26.1102,86,2,0
,59,27.0501,,,670
,59,27.0501,,1,325
,59,27.0501,,2,345
,59,27.0501,66,,435
,59,27.0501,66,1,205
,59,27.0501,66,2,230
,59,27.0501,76,,175
,59,27.0501,76,1,85
,59,27.0501,76,2,90
,59,27.0501,86,,60
,59,27.0501,86,1,35
,59,27.0501,86,2,25
2005,,,,,145
2005,,,,1,80
2005,,,,2,65
2005,,,66,,95
2005,,,66,1,55
2005,,,66,2,40
2005,,,76,,45
2005,,,76,1,20
2005,,,76,2,25
2005,,,86,,5
2005,,,86,1,5
2005,,,86,2,0
2005,,26.1102,,,0
2005,,26.1102,,1,0
2005,,26.1102,,2,0
2005,,26.1102,66,,0
2005,,26.1102,66,1,0
2005,,26.1102,66,2,0
2005,,26.1102,76,,0
2005,,26.1102,76,1,0
2005,,26.1102,76,2,0
2005,,26.1102,86,,0
2005,,26.1102,86,1,0
2005,,26.1102,86,2,0
2005,,27.0501,,,145
2005,,27.0501,,1,80
2005,,27.0501,,2,65
2005,,27.0501,66,,95
2005,,27.0501,66,1,55
2005,,27.0501,66,2,40
2005,,27.0501,76,,45
2005,,27.0501,76,1,20
2005,,27.0501,76,2,25
2005,,27.0501,86,,5
2005,,27.0501,86,1,5
2005,,27.0501,86,2,0
2005,10,,,,5
2005,10,,,1,5
2005,10,,,2,0
2005,10,,66,,0
2005,10,,66,1,0
2005,10,,66,2,0
2005,10,,76,,0
2005,10,,76,1,0
2005,10,,76,2,0
2005,10,,86,,5
2005,10,,86,1,5
2005,10,,86,2,0
2005,10,26.1102,,,0
2005,10,26.1102,,1,0
2005,10,26.1102,,2,0
2005,10,26.1102,66,,0
2005,10,26.1102,66,1,0
2005,10,26.1102,66,2,0
2005,10,26.1102,76,,0
2005,10,26.1102,76,1,0
2005,10,26.1102,76,2,0
2005,10,26.1102,86,,0
2005,10,26.1102,86,1,0
2005,10,26.1102,86,2,0
2005,10,27.0501,,,5
2005,10,27.0501,,1,5
2005,10,27.0501,,2,0
2005,10,27.0501,66,,0
2005,10,27.0501,66,1,0
2005,10,27.0501,66,2,0
2005,10,27.0501,76,,0
2005,10,27.0501,76,1,0
2005,10,27.0501,76,2,0
2005,10,27.0501,86,,5
2005,10,27.0501,86,1,5
2005,10,27.0501,86,2,0
2005,12,,,,5
2005,12,,,1,0
2005,12,,,2,5
2005,12,,66,,0
2005,12,,66,1,0
2005,12,,66,2,0
2005,12,,76,,5
2005,12,,76,1,0
2005,12,,76,2,5
2005,12,,86,,0
2005,12,,86,1,0
2005,12,,86,2,0
2005,12,26.1102,,,0
2005,12,26.1102,,1,0
2005,12,26.1102,,2,0
2005,12,26.1102,66,,0
2005,12,26.1102,66,1,0
2005,12,26.1102,66,2,0
2005,12,26.1102,76,,0
2005,12,26.1102,76,1,0
2005,12,26.1102,76,2,0
2005,12,26.1102,86,,0
2005,12,26.1102,86,1,0
2005,12,26.1102,86,2,0
2005,12,27.0501,,,5
2005,12,27.0501,,1,0
2005,12,27.0501,,2,5
2005,12,27.0501,66,,0
2005,12,27.0501,66,1,0
2005,12,27.0501,66,2,0
2005,12,27.0501,76,,5
2005,12,27.0501,76,1,0
2005,12,27.0501,76,2,5
2005,12,27.0501,86,,0
2005,12,27.0501,86,1,0
2005,12,27.0501,86,2,0
2005,13,,,,0
2005,13,,,1,0
2005,13,,,2,0
2005,13,,66,,0
2005,13,,66,1,0
2005,13,,66,2,0
2005,13,,76,,0
2005,13,,76,1,0
2005,13,,76,2,0
2005,13,,86,,0
2005,13,,86,1,0
2005,13,,86,2,0
2005,13,26.1102,,,0
2005,13,26.1102,,1,0
2005,13,26.1102,,2,0
2005,13,26.1102,66,,0
2005,13,26.1102,66,1,0
2005,13,26.1102,66,2,0
2005,13,26.1102,76,,0
2005,13,26.1102,76,1,0
2005,13,26.1102,76,2,0
2005,13,26.1102,86,,0
2005,13,26.1102,86,1,0
2005,13,26.1102,86,2,0
2005,13,27.0501,,,0
2005,13,27.0501,,1,0
2005,13,27.0501,,2,0
2005,13,27.0501,66,,0
2005,13,27.0501,66,1,0
2005,13,27.0501,66,2,0
2005,13,27.0501,76,,0
2005,13,27.0501,76,1,0
2005,13,27.0501,76,2,0
2005,13,27.0501,86,,0
2005,13,27.0501,86,1,0
2005,13,27.0501,86,2,0
2005,24,,,,55
2005,24,,,1,25
2005,24,,,2,30
2005,24,,66,,35
2005,24,,66,1,20
2005,24,,66,2,15
2005,24,,76,,20
2005,24,,76,1,5
2005,24,,76,2,15
2005,24,,86,,0
2005,24,,86,1,0
2005,24,,86,2,0
2005,24,26.1102,,,0
2005,24,26.1102,,1,0
2005,24,26.1102,,2,0
2005,24,26.1102,66,,0
2005,24,26.1102,66,1,0
2005,24,26.1102,66,2,0
2005,24,26.1102,76,,0
2005,24,26.1102,76,1,0
2005,24,26.1102,76,2,0
2005,24,26.1102,86,,0
2005,24,26.1102,86,1,0
2005,24,26.1102,86,2,0
2005,24,27.0501,,,55
2005,24,27.0501,,1,25
2005,24,27.0501,,2,30
2005,24,27.0501,66,,35
2005,24,27.0501,66,1,20
2005,24,27.0501,66,2,15
2005,24,27.0501,76,,20
2005,24,27.0501,76,1,5
2005,24,27.0501,76,2,15
2005,24,27.0501,86,,0
2005,24,27.0501,86,1,0
2005,24,27.0501,86,2,0
2005,35,,,,5
2005,35,,,1,5
2005,35,,,2,0
2005,35,,66,,0
2005,35,,66,1,0
2005,35,,66,2,0
2005,35,,76,,5
2005,35,,76,1,5
2005,35,,76,2,0
2005,35,,86,,0
2005,35,,86,1,0
2005,35,,86,2,0
2005,35,26.1102,,,0
2005,35,26.1102,,1,0
2005,35,26.1102,,2,0
2005,35,26.1102,66,,0
2005,35,26.1102,66,1,0
2005,35,26.1102,66,2,0
2005,35,26.1102,76,,0
2005,35,26.1102,76,1,0
2005,35,26.1102,76,2,0
2005,35,26.1102,86,,0
2005,35,26.1102,86,1,0
2005,35,26.1102,86,2,0
2005,35,27.0501,,,5
2005,35,27.0501,,1,5
2005,35,27.0501,,2,0
2005,35,27.0501,66,,0
2005,35,27.0501,66,1,0
2005,35,27.0501,66,2,0
2005,35,27.0501,76,,5
2005,35,27.0501,76,1,5
2005,35,27.0501,76,2,0
2005,35,27.0501,86,,0
2005,35,27.0501,86,1,0
2005,35,27.0501,86,2,0
2005,46,,,,10
2005,46,,,1,5
2005,46,,,2,5
2005,46,,66,,10
2005,46,,66,1,5
2005,46,,66,2,5
2005,46,,76,,0
2005,46,,76,1,0
2005,46,,76,2,0
2005,46,,86,,0
2005,46,,86,1,0
2005,46,,86,2,0
2005,46,26.1102,,,0
2005,46,26.1102,,1,0
2005,46,26.1102,,2,0
2005,46,26.1102,66,,0
2005,46,26.1102,66,1,0
2005,46,26.1102,66,2,0
2005,46,26.1102,76,,0
2005,46,26.1102,76,1,0
2005,46,26.1102,76,2,0
2005,46,26.1102,86,,0
2005,46,26.1102,86,1,0
2005,46,26.1102,86,2,0
2005,46,27.0501,,,10
2005,46,27.0501,,1,5
2005,46,27.0501,,2,5
2005,46,27.0501,66,,10
2005,46,27.0501,66,1,5
2005,46,27.0501,66,2,5
2005,46,27.0501,76,,0
2005,46,27.0501,76,1,0
2005,46,27.0501,76,2,0
2005,46,27.0501,86,,0
2005,46,27.0501,86,1,0
2005,46,27.0501,86,2,0
2005,47,,,,0
2005,47,,,1,0
2005,47,,,2,0
2005,47,,66,,0
2005,47,,66,1,0
2005,47,,66,2,0
2005,47,,76,,0
2005,47,,76,1,0
2005,47,,76,2,0
2005,47,,86,,0
2005,47,,86,1,0
2005,47,,86,2,0
2005,47,26.1102,,,0
2005,47,26.1102,,1,0
2005,47,26.1102,,2,0
2005,47,26.1102,66,,0
2005,47,26.1102,66,1,0
2005,47,26.1102,66,2,0
2005,47,26.1102,76,,0
2005,47,26.1102,76,1,0
2005,47,26.1102,76,2,0
2005,47,26.1102,86,,0
2005,47,26.1102,86,1,0
2005,47,26.1102,86,2,0
2005,47,27.0501,,,0
2005,47,27.0501,,1,0
2005,47,27.0501,,2,0
2005,47,27.0501,66,,0
2005,47,27.0501,66,1,0
2005,47,27.0501,66,2,0
2005,47,27.0501,76,,0
2005,47,27.0501,76,1,0
2005,47,27.0501,76,2,0
2005,47,27.0501,86,,0
2005,47,27.0501,86,1,0
2005,47,27.0501,86,2,0
2005,48,,,,5
2005,48,,,1,5
2005,48,,,2,0
2005,48,,66,,5
2005,48,,66,1,5
2005,48,,66,2,0
2005,48,,76,,0
2005,48,,76,1,0
2005,48,,76,2,0
2005,48,,86,,0
2005,48,,86,1,0
2005,48,,86,2,0
2005,48,26.1102,,,0
2005,48,26.1102,,1,0
2005,48,26.1102,,2,0
2005,48,26.1102,66,,0
2005,48,26.1102,66,1,0
2005,48,26.1102,66,2,0
2005,48,26.1102,76,,0
2005,48,26.1102,76,1,0
2005,48,26.1102,76,2,0
2005,48,26.1102,86,,0
2005,48,26.1102,86,1,0
2005,48,26.1102,86,2,0
2005,48,27.0501,,,5
2005,48,27.0501,,1,5
2005,48,27.0501,,2,0
2005,48,27.0501,66,,5
2005,48,27.0501,66,1,5
2005,48,27.0501,66,2,0
2005,48,27.0501,76,,0
2005,48,27.0501,76,1,0
2005,48,27.0501,76,2,0
2005,48,27.0501,86,,0
2005,48,27.0501,86,1,0
2005,48,27.0501,86,2,0
2005,59,,,,60
2005,59,,,1,35
2005,59,,,2,25
2005,59,,66,,45
2005,59,,66,1,25
2005,59,,66,2,20
2005,59,,76,,15
2005,59,,76,1,10
2005,59,,76,2,5
2005,59,,86,,0
2005,59,,86,1,0
2005,59,,86,2,0
2005,59,26.1102,,,0
2005,59,26.1102,,1,0
2005,59,26.1102,,2,0
2005,59,26.1102,66,,0
2005,59,26.1102,66,1,0
2005,59,26.1102,66,2,0
2005,59,26.1102,76,,0
2005,59,26.1102,76,1,0
2005,59,26.1102,76,2,0
2005,59,26.1102,86,,0
2005,59,26.1102,86,1,0
2005,59,26.1102,86,2,0
2005,59,27.0501,,,60
2005,59,27.0501,,1,35
2005,59,27.0501,,2,25
2005,59,27.0501,66,,45
2005,59,27.0501,66,1,25
2005,59,27.0501,66,2,20
2005,59,27.0501,76,,15
2005,59,27.0501,76,1,10
2005,59,27.0501,76,2,5
2005,59,27.0501,86,,0
2005,59,27.0501,86,1,0
2005,59,27.0501,86,2,0
2006,,,,,180
2006,,,,1,90
2006,,,,2,90
2006,,,66,,115
2006,,,66,1,55
2006,,,66,2,60
2006,,,76,,60
2006,,,76,1,35
2006,,,76,2,25
2006,,,86,,5
2006,,,86,1,0
2006,,,86,2,5
2006,,26.1102,,,0
2006,,26.1102,,1,0
2006,,26.1102,,2,0
2006,,26.1102,66,,0
2006,,26.1102,66,1,0
2006,,26.1102,66,2,0
2006,,26.1102,76,,0
2006,,26.1102,76,1,0
2006,,26.1102,76,2,0
2006,,26.1102,86,,0
2006,,26.1102,86,1,0
2006,,26.1102,86,2,0
2006,,27.0501,,,180
2006,,27.0501,,1,90
2006,,27.0501,,2,90
2006,,27.0501,66,,115
2006,,27.0501,66,1,55
2006,,27.0501,66,2,60
2006,,27.0501,76,,60
2006,,27.0501,76,1,35
2006,,27.0501,76,2,25
2006,,27.0501,86,,5
2006,,27.0501,86,1,0
2006,,27.0501,86,2,5
2006,10,,,,10
2006,10,,,1,5
2006,10,,,2,5
2006,10,,66,,5
2006,10,,66,1,0
2006,10,,66,2,5
2006,10,,76,,5
2006,10,,76,1,5
2006,10,,76,2,0
2006,10,,86,,0
2006,10,,86,1,0
2006,10,,86,2,0
2006,10,26.1102,,,0
2006,10,26.1102,,1,0
2006,10,26.1102,,2,0
2006,10,26.1102,66,,0
2006,10,26.1102,66,1,0
2006,10,26.1102,66,2,0
2006,10,26.1102,76,,0
2006,10,26.1102,76,1,0
2006,10,26.1102,76,2,0
2006,10,26.1102,86,,0
2006,10,26.1102,86,1,0
2006,10,26.1102,86,2,0
2006,10,27.0501,,,10
2006,10,27.0501,,1,5
2006,10,27.0501,,2,5
2006,10,27.0501,66,,5
2006,10,27.0501,66,1,0
2006,10,27.0501,66,2,5
2006,10,27.0501,76,,5
2006,10,27.0501,76,1,5
2006,10,27.0501,76,2,0
2006,10,27.0501,86,,0
2006,10,27.0501,86,1,0
2006,10,27.0501,86,2,0
2006,12,,,,25
2006,12,,,1,10
2006,12,,,2,15
2006,12,,66,,10
2006,12,,66,1,5
2006,12,,66,2,5
2006,12,,76,,15
2006,12,,76,1,5
2006,12,,76,2,10
2006,12,,86,,0
2006,12,,86,1,0
2006,12,,86,2,0
2006,12,26.1102,,,0
2006,12,26.1102,,1,0
2006,12,26.1102,,2,0
2006,12,26.1102,66,,0
2006,12,26.1102,66,1,0
2006,12,26.1102,66,2,0
2006,12,26.1102,76,,0
2006,12,26.1102,76,1,0
2006,12,26.1102,76,2,0
2006,12,26.1102,86,,0
2006,12,26.1102,86,1,0
2006,12,26.1102,86,2,0
2006,12,27.0501,,,25
2006,12,27.0501,,1,10
2006,12,27.0501,,2,15
2006,12,27.0501,66,,10
2006,12,27.0501,66,1,5
2006,12,27.0501,66,2,5
2006,12,27.0501,76,,15
2006,12,27.0501,76,1,5
2006,12,27.0501,76,2,10
2006,12,27.0501,86,,0
2006,12,27.0501,86,1,0
2006,12,27.0501,86,2,0
2006,13,,,,0
2006,13,,,1,0
2006,13,,,2,0
2006,13,,66,,0
2006,13,,66,1,0
2006,13,,66,2,0
2006,13,,76,,0
2006,13,,76,1,0
2006,13,,76,2,0
2006,13,,86,,0
2006,13,,86,1,0
2006,13,,86,2,0
2006,13,26.1102,,,0
2006,13,26.1102,,1,0
2006,13,26.1102,,2,0
2006,13,26.1102,66,,0
2006,13,26.1102,66,1,0
2006,13,26.1102,66,2,0
2006,13,26.1102,76,,0
2006,13,26.1102,76,1,0
2006,13,26.1102,76,2,0
2006,13,26.1102,86,,0
2006,13,26.1102,86,1,0
2006,13,26.1102,86,2,0
2006,13,27.0501,,,0
2006,13,27.0501,,1,0
2006,13,27.0501,,2,0
2006,13,27.0501,66,,0
2006,13,27.0501,66,1,0
2006,13,27.0501,66,2,0
2006,13,27.0501,76,,0
2006,13,27.0501,76,1,0
2006,13,27.0501,76,2,0
2006,13,27.0501,86,,0
2006,13,27.0501,86,1,0
2006,13,27.0501,86,2,0
2006,24,,,,60
2006,24,,,1,35
2006,24,,,2,25
2006,24,,66,,40
2006,24,,66,1,20
2006,24,,66,2,20
2006,24,,76,,20
2006,24,,76,1,15
2006,24,,76,2,5
2006,24,,86,,0
2006,24,,86,1,0
2006,24,,86,2,0
2006,24,26.1102,,,0
2006,24,26.1102,,1,0
2006,24,26.1102,,2,0
2006,24,26.1102,66,,0
2006,24,26.1102,66,1,0
2006,24,26.1102,66,2,0
2006,24,26.1102,76,,0
2006,24,26.1102,76,1,0
2006,24,26.1102,76,2,0
2006,24,26.1102,86,,0
2006,24,26.1102,86,1,0
2006,24,26.1102,86,2,0
2006,24,27.0501,,,60
2006,24,27.0501,,1,35
2006,24,27.0501,,2,25
2006,24,27.0501,66,,40
2006,24,27.0501,66,1,20
2006,24,27.0501,66,2,20
2006,24,27.0501,76,,20
2006,24,27.0501,76,1,15
2006,24,27.0501,76,2,5
2006,24,27.0501,86,,0
2006,24,27.0501,86,1,0
2006,24,27.0501,86,2,0
2006,35,,,,10
2006,35,,,1,5
2006,35,,,2,5
2006,35,,66,,0
2006,35,,66,1,0
2006,35,,66,2,0
2006,35,,76,,10
2006,35,,76,1,5
2006,35,,76,2,5
2006,35,,86,,0
2006,35,,86,1,0
2006,35,,86,2,0
2006,35,26.1102,,,0
2006,35,26.1102,,1,0
2006,35,26.1102,,2,0
2006,35,26.1102,66,,0
2006,35,26.1102,66,1,0
2006,35,26.1102,66,2,0
2006,35,26.1102,76,,0
2006,35,26.1102,76,1,0
2006,35,26.1102,76,2,0
2006,35,26.1102,86,,0
2006,35,26.1102,86,1,0
2006,35,26.1102,86,2,0
2006,35,27.0501,,,10
2006,35,27.0501,,1,5
2006,35,27.0501,,2,5
2006,35,27.0501,66,,0
2006,35,27.0501,66,1,0
2006,35,27.0501,66,2,0
2006,35,27.0501,76,,10
2006,35,27.0501,76,1,5
2006,35,27.0501,76,2,5
2006,35,27.0501,86,,0
2006,35,27.0501,86,1,0
2006,35,27.0501,86,2,0
2006,46,,,,10
2006,46,,,1,5
2006,46,,,2,5
2006,46,,66,,10
2006,46,,66,1,5
2006,46,,66,2,5
2006,46,,76,,0
2006,46,,76,1,0
2006,46,,76,2,0
2006,46,,86,,0
2006,46,,86,1,0
2006,46,,86,2,0
2006,46,26.1102,,,0
2006,46,26.1102,,1,0
2006,46,26.1102,,2,0
2006,46,26.1102,66,,0
2006,46,26.1102,66,1,0
2006,46,26.1102,66,2,0
2006,46,26.1102,76,,0
2006,46,26.1102,76,1,0
2006,46,26.1102,76,2,0
2006,46,26.1102,86,,0
2006,46,26.1102,86,1,0
2006,46,26.1102,86,2,0
2006,46,27.0501,,,10
2006,46,27.0501,,1,5
2006,46,27.0501,,2,5
2006,46,27.0501,66,,10
2006,46,27.0501,66,1,5
2006,46,27.0501,66,2,5
2006,46,27.0501,76,,0
2006,46,27.0501,76,1,0
2006,46,27.0501,76,2,0
2006,46,27.0501,86,,0
2006,46,27.0501,86,1,0
2006,46,27.0501,86,2,0
2006,47,,,,0
2006,47,,,1,0
2006,47,,,2,0
2006,47,,66,,0
2006,47,,66,1,0
2006,47,,66,2,0
2006,47,,76,,0
2006,47,,76,1,0
2006,47,,76,2,0
2006,47,,86,,0
2006,47,,86,1,0
2006,47,,86,2,0
2006,47,26.1102,,,0
2006,47,26.1102,,1,0
2006,47,26.1102,,2,0
2006,47,26.1102,66,,0
2006,47,26.1102,66,1,0
2006,47,26.1102,66,2,0
2006,47,26.1102,76,,0
2006,47,26.1102,76,1,0
2006,47,26.1102,76,2,0
2006,47,26.1102,86,,0
2006,47,26.1102,86,1,0
2006,47,26.1102,86,2,0
2006,47,27.0501,,,0
2006,47,27.0501,,1,0
2006,47,27.0501,,2,0
2006,47,27.0501,66,,0
2006,47,27.0501,66,1,0
2006,47,27.0501,66,2,0
2006,47,27.0501,76,,0
2006,47,27.0501,76,1,0
2006,47,27.0501,76,2,0
2006,47,27.0501,86,,0
2006,47,27.0501,86,1,0
2006,47,27.0501,86,2,0
2006,48,,,,10
2006,48,,,1,5
2006,48,,,2,5
2006,48,,66,,10
2006,48,,66,1,5
2006,48,,66,2,5
2006,48,,76,,0
2006,48,,76,1,0
2006,48,,76,2,0
2006,48,,86,,0
2006,48,,86,1,0
2006,48,,86,2,0
2006,48,26.1102,,,0
2006,48,26.1102,,1,0
2006,48,26.1102,,2,0
2006,48,26.1102,66,,0
2006,48,26.1102,66,1,0
2006,48,26.1102,66,2,0
2006,48,26.1102,76,,0
2006,48,26.1102,76,1,0
2006,48,26.1102,76,2,0
2006,48,26.1102,86,,0
2006,48,26.1102,86,1,0
2006,48,26.1102,86,2,0
2006,48,27.0501,,,10
2006,48,27.0501,,1,5
2006,48,27.0501,,2,5
2006,48,27.0501,66,,10
2006,48,27.0501,66,1,5
2006,48,27.0501,66,2,5
2006,48,27.0501,76,,0
2006,48,27.0501,76,1,0
2006,48,27.0501,76,2,0
2006,48,27.0501,86,,0
2006,48,27.0501,86,1,0
2006,48,27.0501,86,2,0
2006,59,,,,55
